accepted_id,comparison_result
T117,no retained source tuple or normalized fingerprint match
T118,no retained source tuple or normalized fingerprint match
T120,no retained source tuple or normalized fingerprint match
T121,no retained source tuple or normalized fingerprint match
T124,snapshot-listed; no retained source tuple or normalized fingerprint match
T125,no retained source tuple or normalized fingerprint match
T126,snapshot-listed; no retained source tuple or normalized fingerprint match
T127,excluded Mahler lifting and reciprocal-sum family
T128,excluded automatic collision and Mahler point family
T130,no retained source tuple or normalized fingerprint match
T131,no retained source tuple or normalized fingerprint match
T132,no retained source tuple or normalized fingerprint match
T133,no retained source tuple or normalized fingerprint match
T134,no retained source tuple or normalized fingerprint match
T135,no retained source tuple or normalized fingerprint match
T136,excluded regular Mahler and structured-sum family
T137,snapshot-listed; no retained source tuple or normalized fingerprint match
T140,no retained source tuple or normalized fingerprint match
T141,snapshot-listed; no retained source tuple or normalized fingerprint match
T143,snapshot-listed; no retained source tuple or normalized fingerprint match
T144,snapshot-listed; no retained source tuple or normalized fingerprint match
T145,snapshot-listed; no retained source tuple or normalized fingerprint match
T147,snapshot-listed; no retained source tuple or normalized fingerprint match
T148,snapshot-listed; no retained source tuple or normalized fingerprint match
T149,no retained source tuple or normalized fingerprint match
T150,no retained source tuple or normalized fingerprint match
T151,snapshot-listed; no retained source tuple or normalized fingerprint match
T152,snapshot-listed; no retained source tuple or normalized fingerprint match
T153,no retained source tuple or normalized fingerprint match
T154,snapshot-listed; no retained source tuple or normalized fingerprint match
T155,no retained source tuple or normalized fingerprint match
T157,no retained source tuple or normalized fingerprint match
T158,no retained source tuple or normalized fingerprint match
T159,snapshot-listed; no retained source tuple or normalized fingerprint match
T160,no retained source tuple or normalized fingerprint match
T161,snapshot-listed; no retained source tuple or normalized fingerprint match
T162,excluded automatic rational-phase family
T163,no retained source tuple or normalized fingerprint match
T164,snapshot-listed; no retained source tuple or normalized fingerprint match
T165,snapshot-listed; no retained source tuple or normalized fingerprint match
T166,no retained source tuple or normalized fingerprint match
T167,no retained source tuple or normalized fingerprint match
T168,snapshot-listed; no retained source tuple or normalized fingerprint match
T169,snapshot-listed; no retained source tuple or normalized fingerprint match
T170,snapshot-listed; no retained source tuple or normalized fingerprint match
T171,excluded automatic functional-equation and correlation tuple family
T172,snapshot-listed; no retained source tuple or normalized fingerprint match
T173,snapshot-listed; no retained source tuple or normalized fingerprint match
T175,excluded Mahler constants and effective-cover family
T176,excluded Cantor Mahler and automatic-correlation family
T177,snapshot-listed; no retained source tuple or normalized fingerprint match
T178,no retained source tuple or normalized fingerprint match
T179,no retained source tuple or normalized fingerprint match
T180,no retained source tuple or normalized fingerprint match
T181,no retained source tuple or normalized fingerprint match
T183,no retained source tuple or normalized fingerprint match
T184,snapshot-listed; no retained source tuple or normalized fingerprint match
T186,snapshot-listed; no retained source tuple or normalized fingerprint match
T187,snapshot-listed; no retained source tuple or normalized fingerprint match
T190,excluded nondecaying substitution Fourier-ray screen
